min,max
0.091 ,0.293 
0.126 ,0.481 
0.141 ,0.446 
0.058 ,0.361 
0.092 ,0.360 
0.141 ,0.495 
0.123 ,0.541 
0.092 ,0.341 
0.119 ,0.319 
0.126 ,0.333 
0.067 ,0.362 
0.101 ,0.501 
0.120 ,0.336 
0.112 ,0.357 
0.116 ,0.357 
0.138 ,0.481 
0.100 ,0.317 
0.114 ,0.413 
0.104 ,0.439 
0.064 ,0.298 
0.154 ,0.403 
0.185 ,0.601 
0.115 ,0.305 
0.096 ,0.286 
0.078 ,0.374 
0.095 ,0.251 
0.112 ,0.398 
0.123 ,0.209 
0.152 ,0.234 
0.143 ,0.351 
0.113 ,0.367 
0.070 ,0.578 
0.081 ,0.459 
0.112 ,0.390 
0.139 ,0.346 
0.138 ,0.368 
0.085 ,0.459 
0.125 ,0.329 
0.067 ,0.251 
0.051 ,0.653 
0.028 ,0.567 
0.098 ,0.313 
0.111 ,0.496 
0.154 ,0.387 
0.090 ,0.362 
0.100 ,0.443 
0.063 ,0.424 
0.099 ,0.498 
0.093 ,0.386 
0.053 ,0.248 
0.067 ,0.320 
0.055 ,0.426 
0.141 ,0.423 
0.100 ,0.443 
0.134 ,0.478 
0.192 ,0.451 
0.080 ,0.324 
0.070 ,0.429 
0.078 ,0.446 
0.070 ,0.325 
0.105 ,0.372 
0.083 ,0.491 
0.081 ,0.421 
0.060 ,0.440 
0.122 ,0.390 
0.121 ,0.645 
0.153 ,0.405 
0.080 ,0.333 
0.216 ,0.454 
0.134 ,0.502 
0.142 ,0.579 
0.212 ,0.442 
0.114 ,0.478 
0.115 ,0.533 
0.121 ,0.344 
0.108 ,0.351 
0.022 ,0.429 
0.061 ,0.469 
0.076 ,0.232 
0.128 ,0.333 
0.215 ,0.359 
0.113 ,0.313 
0.081 ,0.295 
0.147 ,0.385 
0.220 ,0.381 
0.139 ,0.347 
0.031 ,0.418 
0.130 ,0.429 
0.147 ,0.197 
0.197 ,0.494 
0.148 ,0.395 
0.100 ,0.342 
0.054 ,0.346 
0.072 ,0.439 
0.120 ,0.513 
0.107 ,0.450 
0.083 ,0.415 
0.190 ,0.330 
0.088 ,0.329 
0.091 ,0.486 
0.067 ,0.415 
0.118 ,0.457 
0.181 ,0.338 
0.132 ,0.345 
0.105 ,0.324 
0.130 ,0.507 
0.067 ,0.245 
0.132 ,0.254 
0.122 ,0.474 
0.157 ,0.241 
0.150 ,0.409 
0.172 ,0.306 
0.091 ,0.301 
0.094 ,0.293 
0.059 ,0.230 
0.033 ,0.213 
0.247 ,0.336 
0.107 ,0.297 
0.105 ,0.335 
0.082 ,0.303 
0.066 ,0.374 
0.046 ,0.235 
0.061 ,0.241 
0.092 ,0.328 
0.088 ,0.444 
0.062 ,0.303 
0.050 ,0.526 
0.076 ,0.450 
0.136 ,0.349 
0.164 ,0.277 
0.137 ,0.425 
0.141 ,0.328 
0.146 ,0.636 
0.174 ,0.413 
0.135 ,0.492 
0.091 ,0.418 
0.180 ,0.269 
0.207 ,0.315 
0.129 ,0.293 
0.185 ,0.385 
0.110 ,0.406 
0.141 ,0.371 
0.132 ,0.418 
0.038 ,0.266 
0.158 ,0.366 
0.083 ,0.446 
0.033 ,0.302 
0.073 ,0.425 
0.045 ,0.322 
0.141 ,0.438 
0.114 ,0.284 
0.169 ,0.429 
0.094 ,0.318 
0.094 ,0.498 
0.168 ,0.303 
0.084 ,0.296 
0.107 ,0.480 
0.099 ,0.356 
0.096 ,0.342 
0.050 ,0.247 
0.123 ,0.408 
0.106 ,0.297 
0.191 ,0.401 
0.144 ,0.387 
0.143 ,0.342 
0.150 ,0.407 
0.132 ,0.290 
0.036 ,0.501 
0.091 ,0.352 
0.096 ,0.392 
0.083 ,0.491 
0.068 ,0.619 
0.039 ,0.472 
0.103 ,0.379 
0.074 ,0.469 
0.050 ,0.456 
0.079 ,0.611 
0.108 ,0.326 
0.046 ,0.541 
0.216 ,0.529 
0.115 ,0.459 
0.102 ,0.326 
0.121 ,0.345 
